y,age,category0,num0,category1,num1,category2,category3,category4,category5,category6,num2,num3,num4,category7,yhat
0,24,0,102323,6,9,1,10,2,0,0,0,0,40,0,0
0,44,0,187164,2,9,3,10,4,0,0,0,0,60,0,0
0,35,0,110402,12,7,1,7,1,2,1,0,0,35,1,1
0,20,1,71788,1,10,2,3,3,0,0,0,0,18,0,0
0,33,0,190511,2,9,0,7,0,1,1,0,0,30,0,0
1,34,0,305619,0,9,2,9,3,0,1,0,0,40,0,0
0,34,0,105493,6,14,2,9,4,0,0,0,0,40,0,0
1,51,2,163052,2,9,0,12,0,0,0,0,0,40,0,0
0,23,2,216867,4,10,1,1,2,0,0,0,0,37,6,0
0,61,1,243283,1,9,0,7,0,0,0,0,0,40,0,0
0,25,0,181772,5,10,1,7,1,1,1,0,0,40,0,0
0,65,0,258561,5,13,1,8,1,0,0,0,0,20,0,0
0,18,1,171748,2,10,3,6,3,1,0,0,0,24,0,0
0,25,2,206600,9,5,2,3,2,0,1,0,0,48,1,0
0,25,0,295108,0,9,0,10,3,1,1,0,0,25,0,0
0,21,0,174503,1,9,1,6,1,0,1,0,0,30,0,0
0,21,1,109414,1,10,1,0,3,2,0,0,1974,40,1,0
0,55,0,171355,1,11,1,10,1,2,1,0,0,20,1,0
0,45,2,109434,0,13,1,3,1,0,0,0,0,55,0,1
0,20,0,223811,3,9,1,9,3,0,0,0,0,40,0,0
0,40,0,168071,2,9,2,1,5,2,1,0,0,28,1,0
0,23,0,184271,7,13,1,2,5,0,1,0,0,36,0,0
0,69,0,140176,6,9,0,6,0,0,0,0,0,24,0,0
1,43,0,456236,2,9,1,1,1,2,1,0,0,40,1,0
0,29,2,178564,5,13,0,9,5,0,0,0,0,40,0,0
1,39,0,48915,0,9,1,7,1,0,1,0,0,40,0,0
1,37,0,199753,2,10,1,3,1,0,1,0,0,35,0,0
0,20,0,199268,0,10,2,0,5,2,0,0,0,20,1,0
0,23,0,139012,1,11,1,11,1,3,1,0,0,40,29,0
0,28,0,243660,0,9,1,8,1,0,1,0,0,40,0,0
0,23,0,175424,0,10,2,4,5,0,0,0,0,40,1,0
0,44,1,120837,1,9,1,1,1,0,0,0,0,66,0,0
0,35,3,185769,4,10,0,4,0,0,0,0,0,40,0,0
0,22,0,237720,0,9,0,4,0,0,0,0,0,40,0,0
0,19,0,97189,2,10,1,2,1,0,0,0,0,22,0,0
0,32,2,119522,1,13,0,5,0,0,1,0,0,50,0,1
0,49,0,148398,1,9,3,12,1,1,1,0,0,40,0,0
0,59,0,515712,6,4,1,10,3,0,1,0,0,40,0,0
0,44,2,211759,6,13,1,4,1,4,1,0,0,40,8,0
0,32,2,81528,0,9,2,7,2,0,1,0,0,60,0,0
0,24,0,96178,0,13,2,6,3,0,1,0,0,40,0,0
0,24,0,201680,6,9,1,3,4,0,0,0,0,60,0,0
0,51,0,128272,5,10,1,5,1,1,1,0,0,40,0,0
0,39,1,182828,0,14,1,9,1,0,1,0,0,45,1,1
0,37,2,758700,9,5,1,7,1,0,1,3781,0,50,1,0
1,44,0,151089,7,14,1,0,2,0,0,0,1887,60,0,1
1,41,6,153132,3,13,2,6,3,0,1,0,0,38,0,0
1,28,0,114158,2,13,0,3,4,0,1,0,1977,24,0,1
0,64,0,169482,0,10,5,5,4,0,0,0,0,40,0,0
1,53,0,133219,0,9,1,10,1,1,1,4386,0,30,0,0
0,71,6,130731,1,9,2,6,1,0,1,0,0,35,0,1
0,37,4,42044,0,10,1,11,3,0,1,0,0,84,0,0
0,23,0,309580,5,14,1,3,3,0,0,0,0,40,0,0
1,57,0,186386,1,13,4,9,2,0,1,10520,0,40,0,1
0,36,0,414683,7,13,0,2,0,2,0,0,0,40,0,1
0,17,0,206998,9,7,3,11,3,0,1,0,0,10,0,0
0,49,4,123598,0,9,3,3,0,0,1,0,0,30,0,0
0,21,0,230248,0,9,0,3,2,0,1,0,0,25,0,0
0,22,2,184779,2,9,1,0,1,0,1,0,0,40,0,0
1,90,0,46786,0,13,0,0,0,0,0,9386,0,15,0,1
1,46,6,177305,13,11,0,12,4,2,1,0,0,35,0,1
1,52,6,254285,10,16,0,3,0,0,0,0,1887,70,17,1
0,25,0,254746,8,11,2,6,4,0,1,0,0,40,0,0
1,43,0,183765,1,10,2,7,2,0,0,0,0,40,5,0
1,46,0,330087,0,13,0,2,0,0,0,0,0,55,0,1
0,34,2,205733,3,9,1,7,0,0,0,0,0,40,0,0
1,58,0,354024,3,9,1,5,4,0,1,0,0,40,0,0
0,31,2,137814,4,10,3,7,2,0,1,0,0,30,0,0
0,17,0,93235,12,8,0,9,1,0,1,0,1721,25,0,0
0,31,0,223212,10,4,0,10,0,0,0,0,0,50,0,0
1,36,0,36423,0,9,1,13,1,0,0,0,0,25,0,0
